center_x,center_y,global neck angle,relative neck angle,neck length,dendrite residual length,spine circumferance length,spine area,source_file,roi_name
439.9,392.2,-2.9170959195391486,1.5705818924309392,2.414278926682315,0.28204698190195265,3.1501993789364966,2.4809390317629725,RoiSet2.zip,0390-0441-1
475.1,281.7,2.8583558352342995,1.565859167444565,0.40672958696915235,0.006517626486481464,3.1063053568563217,2.4122832425085696,RoiSet2.zip,0279-0476-1
487.7,314.6,-0.22472776416903367,-1.5687252429100167,1.3889601517719892,0.006517626486481464,2.4191424100288104,1.4630624999999997,RoiSet2.zip,0313-0489-1
42.8,203.4,-2.2068493051810516,1.5697700837990645,2.6785492954442702,0.04938528620862507,4.0277577588066995,4.0557081409068925,RoiSet1.zip,0201-0045-1
58.6,157.4,0.8092258740640605,-1.5792154985635223,1.4839312652545604,0.04938528620862507,3.043452312015764,2.315650493878525,RoiSet1.zip,0155-0057-1
135.6,238.2,-2.06857164925774,1.5513734357107207,1.044788231642944,0.053697551867582065,2.820732185090248,1.9891325150010015,RoiSet1.zip,0239-0137-1
142.8,264.4,-1.9626857498870875,1.5712470479182186,2.9364620664084202,0.07334399900203688,3.2461203170170863,2.634324278137777,RoiSet1.zip,0261-0144-1
171.0,220.4,1.1744953944527265,-1.5747571149215538,1.693067018459128,0.07334399900203688,2.1618741869035762,1.168425,RoiSet1.zip,0219-0169-1
154.3,211.7,1.1712346647438463,-1.578017844630407,1.841932201978781,0.07334399900203688,2.408346575460413,1.4500333068829747,RoiSet1.zip,0209-0153-1
198.6,289.8,-1.9188191907577892,1.5657974032526878,3.306766237422947,0.2024009015375382,3.269161558023748,2.6718543231150598,RoiSet1.zip,0288-0200-1
281.2,297.2,-1.7738246584315323,1.5788613283810484,2.081948734660547,0.18723323336253844,2.6009708863958583,1.6912623879697142,RoiSet1.zip,0295-0282-1
268.1,305.2,-1.775461365320471,1.5772246214920524,3.032996225373728,0.007686260384614208,2.6596310187059107,1.7684092889156597,RoiSet1.zip,0302-0267-1
317.5,298.9,-1.8121842178971497,1.5586403689696426,1.5149219283446884,0.18723323336253844,3.0136757962147205,2.270560451172608,RoiSet1.zip,0300-0319-1
344.9,261.1,1.112010655616305,-1.5659343889726822,2.4431567483657397,0.05563181932868363,2.307940087722962,1.3316468621296687,RoiSet1.zip,0259-0346-1
378.5,289.1,1.114032065049573,-1.5639129795394142,1.5415817839784616,0.05563181932868363,2.5842697227650215,1.6696125000000002,RoiSet1.zip,0287-0377-1
375.5,334.5,-1.9624004984326946,1.573983274856887,2.3157809910338236,0.22231125900349985,2.4521940416408934,1.5033139044647748,RoiSet1.zip,0333-0377-1
420.6,288.1,1.0398643365929607,-1.5736538685704728,3.193835525766937,0.058942204134783294,2.9313634894863325,2.148222976873372,RoiSet1.zip,0285-0420-1
282.1,250.2,1.3616576733182233,-1.5688416470487947,2.07119899889394,0.18723323336253844,1.8662993476075966,0.8707683137201352,RoiSet1.zip,0248-0281
392.0666564941406,366.46665649414064,-2.102509235668887,1.5671578663472951,4.192378316153304,0.07104056915153191,2.714220198280799,1.8417478211888652,RoiSet1.zip,0364-0393-1
416.8000061035156,348.5333312988281,-2.0466350967794025,1.5586051658111968,1.7013265356026916,0.07104056915153191,2.960911933370642,2.1917498692941684,RoiSet1.zip,0346-0414-1
419.20000610351565,308.1333435058594,1.0305827965995953,-1.5829354085638885,1.573056763787836,0.07104056915153191,2.789101074915492,1.9447712015236884,RoiSet1.zip,0308-0421-1
